Timestamp,Team Number,Match Number,Break baseline,Fuel scored low boiler,Fuel scored high boiler,Gear placed on spike,Additional comments,Primary Scoring Location,Fuel Accumulated,Gears placed on spike,How is fuel loaded into the robot?,How are gears loaded into the robot?,Climbing,Additional Comments?,Pilot data
3/24/2017 12:44:56,3991,13,Yes,0,0,Yes,,Does not score Fuel,0,3,Does not load fuel,"Floor, Efficient","Touched sensor, Locked in place, Slow climb (10-20s)",,
3/24/2017 16:29:32,4063,33,Yes,0,0,Yes,,Does not score Fuel,,2,Does not load fuel,Inefficient,Trouble capturing rope,No ,"Deployed rope late, Forgot to deploy rope"
3/24/2017 18:59:03,4087,51,Yes,0,0,Yes,,Does not score Fuel,,3,Does not load fuel,Player station,"Slow climb (10-20s), Rope broke (inspect for damage)",,Strong pilot
3/24/2017 19:02:17,4087,51,Yes,0,0,Yes,,Does not score Fuel,,3,Does not load fuel,Player station,"Slow climb (10-20s), Rope broke (inspect for damage)",,Strong pilot
3/24/2017 11:59:33,4107,8,Yes,0,0,Yes,,Does not score Fuel,0,0,Does not load fuel,"Player station, Inefficient","Touched sensor, Locked in place",,"Dropped gear out of ship, Received penalty"
3/24/2017 15:20:56,4107,25,Yes,0,0,Yes,,Does not score Fuel,,2,Does not load fuel,"Player station, Efficient","Fast climb (<10s), Trouble capturing rope, Missed sensor (after climbing)",Slow Robert and slow pilot ,Strong pilot
3/24/2017 19:42:28,4336,56,Yes,0,0,Yes,,Does not score Fuel,0,2,Does not load fuel,Player station,Does not climb,,Strong pilot
3/24/2017 16:37:20,4353,34,Yes,0,0,Yes,,Does not score Fuel,,1,Does not load fuel,Player station,"Touched sensor, Fast climb (<10s)",,Strong pilot
3/24/2017 17:51:46,4353,43,Yes,0,0,Yes,,Does not score Fuel,,2,Does not load fuel,Player station,Does not climb,,Strong pilot
3/24/2017 10:48:51,4587,1,No,0,0,Yes,,Does not score Fuel,0,4,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s)","Pilot very efficient, fast robot",Strong pilot
3/24/2017 12:55:14,4587,14,Yes,0,0,Yes,,Does not score Fuel,0,3,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s)",,Strong pilot
3/24/2017 14:41:47,4592,21,Yes,0,0,Yes,,Does not score Fuel,0,4,Does not load fuel,"Floor, Efficient","Touched sensor, Fast climb (<10s)",,Strong pilot
3/24/2017 17:28:52,5006,40,Yes,0,0,Yes,,Does not score Fuel,,3,Does not load fuel,Player station,"Touched sensor, Fast climb (<10s)",,Strong pilot
3/24/2017 18:26:40,5325,47,Yes,0,0,Yes,Gear fell into hopper,Does not score Fuel,0,0,Does not load fuel,"Player station, Inefficient",Does not climb,Didn't do much,
3/24/2017 14:49:28,5785,22,Yes,0,0,Yes,,Does not score Fuel,,2,Does not load fuel,Player station,Does not climb,,Strong pilot
3/24/2017 13:22:20,5953,16,Yes,0,0,Yes,,Does not score Fuel,0,1,Does not load fuel,"Player station, Inefficient","Touched sensor, Locked in place, Fast climb (<10s), Trouble capturing rope",,Strong pilot
3/24/2017 13:34:16,5971,17,Yes,0,0,Yes,,Does not score Fuel,0,3,Does not load fuel,"Player station, Inefficient",Does not climb,No pilot from team,
3/24/2017 19:33:57,6068,55,Yes,0,0,Yes,,Does not score Fuel,,2,Does not load fuel,Player station,Does not climb,,Strong pilot
3/24/2017 19:39:51,6068,55,Yes,0,0,Yes,,Does not score Fuel,,2,Does not load fuel,Player station,Does not climb,,Strong pilot
3/24/2017 18:34:43,6489,48,Yes,0,0,Yes,,Does not score Fuel,,2,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s)",No,
